"filename", "language", "HTML", "JSON", "JavaScript", "Markdown", "Rust", "YAML", "TOML", "Vue", "CSS", "comment", "blank", "total"
"d:\Projects\PimVIDesktop\README.md", "Markdown", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4, 8
"d:\Projects\PimVIDesktop\index.html", "HTML", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"d:\Projects\PimVIDesktop\package.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"d:\Projects\PimVIDesktop\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 1132, 0, 0, 0, 0, 183, 1315
"d:\Projects\PimVIDesktop\postcss.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\Projects\PimVIDesktop\src-tauri\Cargo.toml", "TOML", 0, 0, 0, 0, 0, 0, 16, 0, 0, 3, 5, 24
"d:\Projects\PimVIDesktop\src-tauri\build.rs", "Rust", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\Projects\PimVIDesktop\src-tauri\src\main.rs", "Rust", 0, 0, 0, 0, 11, 0, 0, 0, 0, 2, 3, 16
"d:\Projects\PimVIDesktop\src-tauri\tauri.conf.json", "JSON", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46
"d:\Projects\PimVIDesktop\src\App.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 4, 29
"d:\Projects\PimVIDesktop\src\api.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 4, 12
"d:\Projects\PimVIDesktop\src\components\CadastroProduto.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 113, 0, 0, 3, 116
"d:\Projects\PimVIDesktop\src\components\Categoria.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 2, 26
"d:\Projects\PimVIDesktop\src\components\Logo.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"d:\Projects\PimVIDesktop\src\components\Navbar.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 3, 68
"d:\Projects\PimVIDesktop\src\components\NavbarComponent.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 1, 35
"d:\Projects\PimVIDesktop\src\components\Product.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 1, 66
"d:\Projects\PimVIDesktop\src\components\Sale.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 2, 48
"d:\Projects\PimVIDesktop\src\main.js", "JavaScript", 0, 0, 69, 0, 0, 0, 0, 0, 0, 8, 7, 84
"d:\Projects\PimVIDesktop\src\store.js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 4, 30
"d:\Projects\PimVIDesktop\src\styles.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3
"d:\Projects\PimVIDesktop\src\views\Cart.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 173, 0, 3, 4, 180
"d:\Projects\PimVIDesktop\src\views\Home.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 5, 81
"d:\Projects\PimVIDesktop\src\views\Index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"d:\Projects\PimVIDesktop\src\views\Login.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 103, 0, 0, 2, 105
"d:\Projects\PimVIDesktop\src\views\Product.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 2, 48
"d:\Projects\PimVIDesktop\src\views\Register.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 115, 0, 0, 3, 118
"d:\Projects\PimVIDesktop\src\views\Sales.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 3, 51
"d:\Projects\PimVIDesktop\src\views\User.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 2, 87
"d:\Projects\PimVIDesktop\tailwind.config.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 2, 13
"d:\Projects\PimVIDesktop\vite.config.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 9, 3, 28
"Total", "-", 13, 81, 134, 4, 14, 1132, 16, 1030, 3, 27, 259, 2713